class,fine_id,filename,is_test,b_pred,b_pred_name,b_prob,b_is_tp,p_pred,p_pred_name,p_prob,p_is_tp,both_tp,b_iou_0.5,p_iou_0.5,delta_0.5,ious,mask_area_pct
LowGradePapillary,0,a7085d36.png,True,0,LowGradePapillary,0.8681818842887878,True,0,LowGradePapillary,0.7203418016433716,True,True,0.08267136543516566,0.12770829663554695,0.04503693120038128,"{'b_iou_0.3': 0.08939190069013413, 'p_iou_0.3': 0.1823947722467807, 'b_iou_0.4': 0.08952698619872863, 'p_iou_0.4': 0.1417354812508461, 'b_iou_0.5': 0.08267136543516566, 'p_iou_0.5': 0.12770829663554695, 'b_iou_0.6': 0.08408921933085502, 'p_iou_0.6': 0.09641210663459611}",8.209104537963867
LowGradePapillary,0,293d0e95.png,True,0,LowGradePapillary,0.9952811598777771,True,0,LowGradePapillary,0.9999992847442627,True,True,0.04363806468858594,0.046785449725135486,0.0031473850365495437,"{'b_iou_0.3': 0.03805220286580653, 'p_iou_0.3': 0.029829876485667678, 'b_iou_0.4': 0.04977225672877847, 'p_iou_0.4': 0.03602715416467142, 'b_iou_0.5': 0.04363806468858594, 'p_iou_0.5': 0.046785449725135486, 'b_iou_0.6': 0.0, 'p_iou_0.6': 0.08277189605389798}",2.551020383834839
LowGradePapillary,0,6bd398d9.png,True,1,HighGradePapillary,0.32618191838264465,False,1,HighGradePapillary,0.012060650624334812,False,False,0.002005515166708448,0.0,-0.002005515166708448,"{'b_iou_0.3': 0.04574132492113565, 'p_iou_0.3': 0.04779126840609661, 'b_iou_0.4': 0.027500600075438055, 'p_iou_0.4': 0.006954707467617143, 'b_iou_0.5': 0.002005515166708448, 'p_iou_0.5': 0.0, 'b_iou_0.6': 0.0, 'p_iou_0.6': 0.0}",10.13233470916748
LowGradePapillary,0,14629c28.png,True,0,LowGradePapillary,0.7055519819259644,True,1,HighGradePapillary,0.4995993375778198,False,False,0.01916697382970881,0.0,-0.01916697382970881,"{'b_iou_0.3': 0.0646883480891578, 'p_iou_0.3': 0.0, 'b_iou_0.4': 0.04957185597854122, 'p_iou_0.4': 0.0, 'b_iou_0.5': 0.01916697382970881, 'p_iou_0.5': 0.0, 'b_iou_0.6': 0.0, 'p_iou_0.6': 0.0}",7.017298698425293
LowGradePapillary,0,e228e29a.png,True,2,CIS,0.2993164360523224,False,0,LowGradePapillary,0.8936179280281067,True,False,0.0,0.13774070894149393,0.13774070894149393,"{'b_iou_0.3': 0.027098880597014926, 'p_iou_0.3': 0.10633867276887872, 'b_iou_0.4': 0.014993764681998782, 'p_iou_0.4': 0.113215859030837, 'b_iou_0.5': 0.0, 'p_iou_0.5': 0.13774070894149393, 'b_iou_0.6': 0.0, 'p_iou_0.6': 0.12750611246943766}",10.528938293457031
LowGradePapillary,0,464ae121.png,True,0,LowGradePapillary,0.9974673986434937,True,0,LowGradePapillary,1.0,True,True,0.034217577706323686,0.0,-0.034217577706323686,"{'b_iou_0.3': 0.06702223061311181, 'p_iou_0.3': 0.0, 'b_iou_0.4': 0.0697874431748372, 'p_iou_0.4': 0.0, 'b_iou_0.5': 0.034217577706323686, 'p_iou_0.5': 0.0, 'b_iou_0.6': 0.005958291956305859, 'p_iou_0.6': 0.0}",5.66007661819458
LowGradePapillary,0,3c24bcaa.png,True,0,LowGradePapillary,0.9961064457893372,True,0,LowGradePapillary,1.0,True,True,0.03245074210063609,0.04009456566882847,0.007643823568192383,"{'b_iou_0.3': 0.029794406723327477, 'p_iou_0.3': 0.029844002663369163, 'b_iou_0.4': 0.030999901195534037, 'p_iou_0.4': 0.03263215372214566, 'b_iou_0.5': 0.03245074210063609, 'p_iou_0.5': 0.04009456566882847, 'b_iou_0.6': 0.035567521609749186, 'p_iou_0.6': 0.05875468164794007}",2.5011959075927734
LowGradePapillary,0,006a2b09.png,True,1,HighGradePapillary,0.3892192840576172,False,1,HighGradePapillary,4.3407200678302615e-07,False,False,0.0,0.0,0.0,"{'b_iou_0.3': 0.003818810644634451, 'p_iou_0.3': 0.0, 'b_iou_0.4': 0.0, 'p_iou_0.4': 0.0, 'b_iou_0.5': 0.0, 'p_iou_0.5': 0.0, 'b_iou_0.6': 0.0, 'p_iou_0.6': 0.0}",11.945950508117676
LowGradePapillary,0,ccb4e52c.png,True,0,LowGradePapillary,0.9767743945121765,True,0,LowGradePapillary,0.9999986886978149,True,True,0.0009269451364347373,0.09252120277563608,0.09159425763920134,"{'b_iou_0.3': 0.029319144315343687, 'p_iou_0.3': 0.043174095542674394, 'b_iou_0.4': 0.035537669247297156, 'p_iou_0.4': 0.06984866123399301, 'b_iou_0.5': 0.0009269451364347373, 'p_iou_0.5': 0.09252120277563608, 'b_iou_0.6': 0.0, 'p_iou_0.6': 0.13555918162419983}",2.152423620223999
LowGradePapillary,0,5efdd0ec.png,True,0,LowGradePapillary,0.7260628938674927,True,0,LowGradePapillary,0.9790473580360413,True,True,0.011244688568763603,0.37775835700240334,0.36651366843363975,"{'b_iou_0.3': 0.03258052573121066, 'p_iou_0.3': 0.21977882293123172, 'b_iou_0.4': 0.01852688657930411, 'p_iou_0.4': 0.2762201453790239, 'b_iou_0.5': 0.011244688568763603, 'p_iou_0.5': 0.37775835700240334, 'b_iou_0.6': 0.0037914061460689106, 'p_iou_0.6': 0.3633879781420765}",6.891740798950195
LowGradePapillary,0,823bc07e.png,True,0,LowGradePapillary,0.979150116443634,True,0,LowGradePapillary,0.9999997615814209,True,True,0.0,0.026682555308015127,0.026682555308015127,"{'b_iou_0.3': 0.0066907197661673365, 'p_iou_0.3': 0.03961815064110767, 'b_iou_0.4': 0.0001825626581123021, 'p_iou_0.4': 0.04487369008902467, 'b_iou_0.5': 0.0, 'p_iou_0.5': 0.026682555308015127, 'b_iou_0.6': 0.0, 'p_iou_0.6': 0.018203012912482067}",3.0851402282714844
LowGradePapillary,0,8cc1ecf3.png,True,0,LowGradePapillary,0.9979082345962524,True,0,LowGradePapillary,1.0,True,True,0.01298833596495696,0.0,-0.01298833596495696,"{'b_iou_0.3': 0.06693651354214773, 'p_iou_0.3': 0.013739802490339202, 'b_iou_0.4': 0.051323368074602305, 'p_iou_0.4': 0.0, 'b_iou_0.5': 0.01298833596495696, 'p_iou_0.5': 0.0, 'b_iou_0.6': 0.0, 'p_iou_0.6': 0.0}",5.18773889541626
LowGradePapillary,0,1504f5d7.png,True,0,LowGradePapillary,0.9293604493141174,True,1,HighGradePapillary,0.08574448525905609,False,False,0.1320265925902806,0.12113650998068255,-0.010890082609598048,"{'b_iou_0.3': 0.25051610735032886, 'p_iou_0.3': 0.22589052997393572, 'b_iou_0.4': 0.19584577789845234, 'p_iou_0.4': 0.1567314132618888, 'b_iou_0.5': 0.1320265925902806, 'p_iou_0.5': 0.12113650998068255, 'b_iou_0.6': 0.09800081297808655, 'p_iou_0.6': 0.08546306187854384}",23.17841148376465
LowGradePapillary,0,e5dc7ef1.png,True,0,LowGradePapillary,0.6991100311279297,True,1,HighGradePapillary,6.825159175605222e-07,False,False,0.03171423287924552,0.003592014033915295,-0.028122218845330223,"{'b_iou_0.3': 0.04535977389612195, 'p_iou_0.3': 0.016482240965720034, 'b_iou_0.4': 0.036710833982852686, 'p_iou_0.4': 0.009169146625914905, 'b_iou_0.5': 0.03171423287924552, 'p_iou_0.5': 0.003592014033915295, 'b_iou_0.6': 0.02853194602503658, 'p_iou_0.6': 0.0}",19.525272369384766
LowGradePapillary,0,a6e2d53d.png,True,0,LowGradePapillary,0.96006840467453,True,0,LowGradePapillary,0.9997312426567078,True,True,0.18096572537184738,0.05526052489802201,-0.12570520047382538,"{'b_iou_0.3': 0.21924212598425197, 'p_iou_0.3': 0.2519032082653616, 'b_iou_0.4': 0.20971128608923884, 'p_iou_0.4': 0.09687407844293719, 'b_iou_0.5': 0.18096572537184738, 'p_iou_0.5': 0.05526052489802201, 'b_iou_0.6': 0.1458428194153538, 'p_iou_0.6': 0.03227883763986155}",19.57908058166504
